tile_id,zone,row,col,tile_area_m2,street_len_m,bldg_area_m2,bldg_count,street_km_per_km2,bldg_coverage
west_02_07,west,7,2,250000.0,6862.160365058735,44496.40845682674,49,27.44864146023494,0.17798563382730698
west_02_08,west,8,2,250000.0,8059.492334059447,62802.08457223129,23,32.23796933623779,0.25120833828892514
west_02_09,west,9,2,250000.0,8766.55003745159,50060.66268704919,28,35.06620014980636,0.20024265074819675
west_02_10,west,10,2,250000.0,5060.835825504996,74769.08016863804,61,20.243343302019984,0.2990763206745522
west_02_11,west,11,2,250000.0,6085.995862048479,66021.14951258087,137,24.343983448193914,0.26408459805032347
west_02_12,west,12,2,250000.0,5559.225974666296,76821.27992594063,409,22.236903898665183,0.30728511970376254
west_02_13,west,13,2,250000.0,4644.825334793542,99379.11146028459,316,18.57930133917417,0.3975164458411384
west_02_14,west,14,2,250000.0,5113.917436232418,69516.2836918168,260,20.455669744929672,0.2780651347672672
west_02_15,west,15,2,250000.0,5338.23865214827,10897.694298332899,13,21.35295460859308,0.0435907771933316
west_02_16,west,16,2,250000.0,4775.751298391222,17243.441214772516,17,19.103005193564886,0.06897376485909007
west_02_17,west,17,2,157295.70579202846,2452.6881294798814,14708.302604510447,16,15.592848623107042,0.09350733721845726
west_03_00,west,0,3,122741.99147336185,2434.4094165074503,9860.459746693461,11,19.833549930919766,0.08033485222401196
west_03_01,west,1,3,250000.0,3587.6977204645304,6927.600254375238,8,14.350790881858122,0.027710401017500955
west_03_02,west,2,3,250000.0,1776.7635700561918,28901.50878039041,25,7.107054280224768,0.11560603512156165
west_03_03,west,3,3,250000.0,4831.054542231446,59093.435803194145,66,19.324218168925785,0.23637374321277657
west_03_04,west,4,3,250000.0,3475.6814232235574,40048.55841321938,42,13.90272569289423,0.16019423365287752
west_03_05,west,5,3,250000.0,6395.320434219398,3715.3754112277375,26,25.58128173687759,0.01486150164491095
west_03_06,west,6,3,250000.0,3648.859656862886,45197.139000218944,51,14.595438627451543,0.1807885560008758
west_03_07,west,7,3,250000.0,5803.980438696188,40498.07415937627,72,23.215921754784752,0.16199229663750508
west_03_08,west,8,3,250000.0,5881.884072297127,48046.238574626725,259,23.527536289188507,0.1921849542985069
west_03_09,west,9,3,250000.0,2988.020846104872,29671.430381223465,36,11.952083384419488,0.11868572152489386
west_03_10,west,10,3,250000.0,3990.2367936956834,47897.283441784806,64,15.960947174782733,0.19158913376713924
west_03_11,west,11,3,250000.0,4791.020056786097,61537.50012426347,69,19.164080227144385,0.24615000049705388
west_03_12,west,12,3,250000.0,4830.520514094537,72330.68342044375,83,19.32208205637815,0.28932273368177497
west_03_13,west,13,3,250000.0,3065.830204816641,57438.42876456031,61,12.263320819266564,0.22975371505824124
west_03_14,west,14,3,250000.0,3798.7372833702325,30381.34995620796,27,15.19494913348093,0.12152539982483183
west_03_15,west,15,3,250000.0,4574.076259008571,21731.849049748897,14,18.296305036034283,0.08692739619899559
west_03_16,west,16,3,250000.0,3074.36330656613,19486.07765720913,65,12.29745322626452,0.07794431062883653
west_03_17,west,17,3,157295.70579202846,450.7910593934514,3493.653088196725,6,2.8658828104911747,0.022210734047729986
west_04_00,west,0,4,38367.97775946671,0.0,2141.4014690029767,2,0.0,0.0558122057520902
west_04_01,west,1,4,78147.61944732163,0.0,3321.2140250319417,0,0.0,0.04249923476262424
west_04_02,west,2,4,78147.61944732163,0.0,2804.9311742332875,3,0.0,0.035892727047482975
west_04_03,west,3,4,78147.61944732163,6.009589287717693,6674.057571583469,7,0.0769004779700127,0.08540321021656164
west_04_04,west,4,4,78147.61944732163,354.1116836794119,6217.394493113933,5,4.531317603578626,0.0795596147020832
west_04_05,west,5,4,78147.61944732163,168.81263173158897,0.0,0,2.1601762526545487,0.0
west_04_06,west,6,4,78147.61944732163,0.0,1943.7152045139505,2,0.0,0.024872353352032504
west_04_07,west,7,4,78147.61944732163,240.975166612903,1980.0785457102204,13,3.0835893443349414,0.02533766939689017
west_04_08,west,8,4,78147.61944732163,42.66020933963624,3705.5650985768248,5,0.5458926278412483,0.047417504522638744
west_04_09,west,9,4,78147.61944732163,219.9528857271424,1167.53376771286,9,2.8145820343946624,0.014940106633700857
west_04_10,west,10,4,78147.61944732163,91.2176778948819,11505.93237102263,13,1.167248324900935,0.14723330604815982
west_04_11,west,11,4,78147.61944732163,107.94687940172949,0.0,0,1.3813201242105038,0.0
west_04_12,west,12,4,78147.61944732163,453.95689338437006,5829.901099201154,7,5.808966371526863,0.07460113488333474
west_04_13,west,13,4,78147.61944732163,25.463146060238287,136.4783227248091,1,0.325833931222981,0.0017464168926707676
west_04_14,west,14,4,78147.61944732163,307.0269869952898,4682.665940757872,14,3.9288079300003886,0.05992077524401623
west_04_15,west,15,4,78147.61944732163,259.20499424695475,3071.1600013878196,7,3.316863598406625,0.039299469684525086
west_04_16,west,16,4,78147.61944732163,180.81448147098297,629.2517749261232,4,2.313755463694807,0.008052091405679916
west_04_17,west,17,4,49169.13982773322,0.0,4018.0071346011846,4,0.0,0.08171806846079661
