p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.08082,1.2772,0.99696,5.73157,3.34039,1.9577,1.39806,1.16247,center,streets,11,0
0.13354,1.35678,0.99769,4.71089,3.2429,2.02482,1.39591,1.14172,center,streets,11,1
0.19208,1.4671,0.99881,3.82519,2.97225,2.25097,1.64353,1.20668,center,streets,11,2
0.16792,1.45974,0.99982,4.29905,3.4008,2.65192,1.93582,1.33601,center,streets,12,0
0.22523,1.52203,0.99948,3.52439,3.00558,2.52964,2.06428,1.5133,center,streets,12,1
0.16162,1.43589,0.99932,4.2688,3.33785,2.33854,1.57286,1.19741,center,streets,12,2
0.12845,1.35697,0.99943,5.27653,3.51568,2.1293,1.40148,1.11266,center,streets,13,0
0.15331,1.46062,0.99955,4.87145,3.49385,2.24713,1.53294,1.17261,center,streets,13,1
0.13904,1.51126,0.99988,5.68754,4.65766,3.72504,2.9423,2.07616,center,streets,13,2
0.12702,1.38583,0.99793,5.86736,4.49727,3.15092,2.09874,1.37044,center,streets,14,0
0.13101,1.47282,0.99936,5.83221,4.39606,3.00678,2.08054,1.43881,center,streets,14,1
0.14274,1.5389,0.99987,5.20543,4.34244,3.39389,2.52529,1.76198,center,streets,14,2
0.10683,1.39601,0.9985,6.88216,5.54074,4.27886,2.96001,2.00823,center,streets,15,0
0.10989,1.56312,0.99832,7.72698,6.88935,6.01265,5.04775,4.21982,center,streets,15,1
0.1351,1.46183,0.9992,5.75847,4.79251,3.69761,2.67807,1.87703,center,streets,15,2
0.23906,1.62327,0.99655,2.76585,2.13516,1.61977,1.26593,1.09092,center,footprints,0,0
0.30355,1.70108,0.99663,1.93399,1.5095,1.26948,1.12465,1.03999,center,footprints,0,1
0.31013,1.68504,0.99513,2.0818,1.62452,1.33591,1.15427,1.05522,center,footprints,0,2
0.2071,1.59153,0.99722,2.86355,2.12922,1.68915,1.41848,1.24097,center,footprints,1,0
0.20382,1.57698,0.99746,3.15026,2.39195,1.85356,1.44933,1.13562,center,footprints,1,1
0.31294,1.7133,0.99445,1.84046,1.40104,1.16084,1.05216,1.01642,center,footprints,1,2
0.18176,1.51723,0.9974,3.73531,2.74088,1.94704,1.42638,1.14823,center,footprints,2,0
0.19811,1.57247,0.99696,3.13363,2.3237,1.77808,1.37852,1.11665,center,footprints,2,1
0.24757,1.61306,0.99644,2.55513,1.92803,1.49453,1.20366,1.06485,center,footprints,2,2
0.02304,1.15377,0.99697,31.09933,22.92738,15.64903,9.46114,6.99721,center,footprints,3,0
